epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7964,3.39793,11.5771,2.75393,0.00233,0.65625,0.06754,0.04374,2.58232,12.139,2.24354,0.00026,0.00026,0.00026
2,37.6375,3.16153,9.26828,2.49905,0.00272,0.76562,0.0647,0.03069,2.84703,12.3058,2.32307,0.000534654,0.000534654,0.000534654
3,43.0612,3.0778,8.16346,2.57449,0.00228,0.64062,0.068,0.02149,3.02082,12.4565,2.90221,0.000803764,0.000803764,0.000803764
4,49.6058,3.3516,8.33693,2.69728,0.00217,0.60938,0.10159,0.04475,3.17803,12.1044,3.48148,0.00106733,0.00106733,0.00106733
5,55.0602,3.23768,8.01034,2.74335,0.49381,0.10938,0.18559,0.08884,3.2493,11.7454,3.69858,0.00132535,0.00132535,0.00132535
6,61.9468,3.24968,6.80435,2.73237,0.43549,0.01562,0.01742,0.00217,5.28503,14.6997,4.54828,0.00157783,0.00157783,0.00157783
7,67.1854,3.41149,6.68499,2.72666,0.41525,0.14062,0.13847,0.06518,3.68879,11.0556,3.5043,0.00182476,0.00182476,0.00182476
8,73.6743,3.35967,6.01012,2.76186,0.10482,0.125,0.04411,0.02063,3.47186,9.71748,3.20212,0.0018614,0.0018614,0.0018614
9,78.7804,3.30008,5.62668,2.74769,0.34772,0.19166,0.24382,0.10967,3.43675,7.42233,3.09183,0.0018416,0.0018416,0.0018416
10,84.966,3.43177,5.78474,2.73253,0.49821,0.32584,0.31658,0.13924,3.78196,6.47303,3.34629,0.0018218,0.0018218,0.0018218
11,90.8457,3.31734,5.17313,2.7665,0.45096,0.30809,0.33156,0.15866,3.65729,7.0428,3.26774,0.001802,0.001802,0.001802
12,96.0953,3.29439,5.13819,2.77579,0.60434,0.40625,0.42864,0.18015,3.42981,7.59563,3.00913,0.0017822,0.0017822,0.0017822
13,102.617,3.23158,4.49689,2.61906,0.37966,0.3125,0.2788,0.13164,3.74541,6.3929,3.46406,0.0017624,0.0017624,0.0017624
14,107.879,3.12435,4.27466,2.65331,0.42351,0.3125,0.30796,0.1643,3.80176,9.50109,3.64604,0.0017426,0.0017426,0.0017426
15,114.445,3.33237,4.06652,2.73274,0.35784,0.51562,0.40436,0.19874,3.42154,5.51164,3.11881,0.0017228,0.0017228,0.0017228
16,119.767,3.23693,4.01582,2.63877,0.53779,0.40625,0.4749,0.2527,3.35146,6.89952,3.0642,0.001703,0.001703,0.001703
17,125.429,3.20214,3.63538,2.58326,0.5045,0.44551,0.50644,0.22276,3.51305,4.65844,3.12369,0.0016832,0.0016832,0.0016832
18,131.38,3.16124,3.67713,2.60825,0.47423,0.56375,0.53158,0.26253,3.40242,4.26256,2.92638,0.0016634,0.0016634,0.0016634
19,136.715,3.00027,3.53113,2.49304,0.43596,0.45312,0.41941,0.19755,3.65062,4.21638,2.97729,0.0016436,0.0016436,0.0016436
20,143.257,3.0416,3.39359,2.60651,0.72884,0.40625,0.45679,0.22159,3.41027,5.65759,2.84056,0.0016238,0.0016238,0.0016238
21,148.551,3.08894,3.16122,2.58272,0.57681,0.5,0.53413,0.26526,3.31174,3.70531,2.79884,0.001604,0.001604,0.001604
22,155.197,3.00243,3.12878,2.58492,0.67719,0.5,0.56838,0.2716,3.42385,3.31446,2.92515,0.0015842,0.0015842,0.0015842
23,160.421,3.01659,3.0859,2.6205,0.49291,0.42531,0.46162,0.26047,3.38813,4.08801,2.8845,0.0015644,0.0015644,0.0015644
24,166.433,2.87466,2.95711,2.47729,0.671,0.5625,0.62244,0.35528,3.2117,3.28124,2.79147,0.0015446,0.0015446,0.0015446
25,172.006,2.8297,2.82452,2.42413,0.6669,0.59375,0.65689,0.34447,3.115,2.95199,2.74819,0.0015248,0.0015248,0.0015248
26,177.828,3.03546,2.87422,2.48321,0.65304,0.55883,0.64433,0.33736,3.11716,2.87014,2.85581,0.001505,0.001505,0.001505
27,184.166,2.87298,2.70224,2.53104,0.81522,0.48259,0.59296,0.32992,3.20768,3.17465,2.83264,0.0014852,0.0014852,0.0014852
28,189.427,2.84111,2.69694,2.46506,0.643,0.57812,0.5876,0.32709,3.12984,3.27558,2.72989,0.0014654,0.0014654,0.0014654
29,195.975,2.80971,2.60638,2.46114,0.59535,0.57812,0.61541,0.35156,3.17809,2.75556,2.8079,0.0014456,0.0014456,0.0014456
30,201.08,2.84312,2.44249,2.38944,0.60956,0.65625,0.70426,0.35314,3.421,2.3524,2.86577,0.0014258,0.0014258,0.0014258
31,207.498,2.83756,2.50205,2.49077,0.53965,0.65942,0.659,0.35634,3.15307,2.63457,2.64185,0.001406,0.001406,0.001406
32,212.828,2.77255,2.38298,2.44027,0.48896,0.6875,0.57843,0.28899,3.20999,2.91738,2.74861,0.0013862,0.0013862,0.0013862
33,217.997,2.73116,2.3303,2.37757,0.49715,0.54688,0.48859,0.25139,3.3079,2.80162,2.77289,0.0013664,0.0013664,0.0013664
34,224.311,2.78578,2.41281,2.37913,0.52546,0.71875,0.59348,0.27335,3.42815,2.82658,2.84869,0.0013466,0.0013466,0.0013466
35,229.485,2.89541,2.40533,2.39957,0.4759,0.65625,0.5199,0.25618,3.28124,2.7896,2.8341,0.0013268,0.0013268,0.0013268
36,235.885,2.72121,2.44437,2.49829,0.64399,0.53125,0.59837,0.32172,3.34099,2.6689,2.93636,0.001307,0.001307,0.001307
37,241.382,2.60516,2.26433,2.32232,0.74567,0.59375,0.65879,0.38302,3.25513,2.37936,2.86842,0.0012872,0.0012872,0.0012872
38,247.413,2.6551,2.13069,2.31196,0.70507,0.6875,0.72557,0.36955,3.304,2.13364,2.86542,0.0012674,0.0012674,0.0012674
39,252.757,2.80216,2.27616,2.41086,0.83502,0.59375,0.75692,0.37731,3.32164,2.31412,2.83152,0.0012476,0.0012476,0.0012476
40,257.863,2.775,2.1055,2.47059,0.71254,0.67188,0.69314,0.38314,3.14948,2.50076,2.77724,0.0012278,0.0012278,0.0012278
41,264.289,2.65824,2.05411,2.35475,0.72098,0.64062,0.69855,0.36454,3.10793,2.53259,2.71719,0.001208,0.001208,0.001208
42,269.345,2.74132,2.06446,2.37496,0.60483,0.59792,0.63174,0.3425,3.25213,2.67634,2.90506,0.0011882,0.0011882,0.0011882
43,275.818,2.57972,1.94392,2.37204,0.68426,0.60938,0.67828,0.38958,3.17538,2.45163,2.82226,0.0011684,0.0011684,0.0011684
44,280.967,2.83091,2.08251,2.41441,0.68932,0.65874,0.68119,0.40779,3.01616,2.49803,2.71802,0.0011486,0.0011486,0.0011486
45,286.648,2.66008,1.97557,2.36505,0.7909,0.65018,0.74279,0.41665,3.04001,2.26792,2.69207,0.0011288,0.0011288,0.0011288
46,292.341,2.64893,1.84393,2.30308,0.92018,0.65625,0.79558,0.45205,3.02731,2.23815,2.69407,0.001109,0.001109,0.001109
47,297.957,2.58588,1.94781,2.26974,0.78603,0.65625,0.76569,0.41652,3.12875,2.29317,2.7131,0.0010892,0.0010892,0.0010892
48,304.411,2.51499,1.78835,2.24019,0.64114,0.64062,0.64146,0.34775,3.3088,2.61048,2.83939,0.0010694,0.0010694,0.0010694
49,309.596,2.431,1.94515,2.27141,0.68724,0.60938,0.67631,0.31415,3.43693,2.68207,2.90313,0.0010496,0.0010496,0.0010496
50,315.981,2.44611,1.80464,2.23886,0.64249,0.70312,0.68111,0.35625,3.30056,2.43422,2.80252,0.0010298,0.0010298,0.0010298
51,321.034,2.47786,1.85461,2.27924,0.71437,0.64062,0.71215,0.37236,3.31265,2.48654,2.81683,0.00101,0.00101,0.00101
52,326.79,2.50259,1.83823,2.26181,0.67389,0.77496,0.75061,0.38108,3.13228,2.39177,2.88654,0.0009902,0.0009902,0.0009902
53,332.445,2.43685,1.78685,2.23871,0.77353,0.625,0.7252,0.39622,3.22636,2.41063,2.90919,0.0009704,0.0009704,0.0009704
54,337.54,2.5111,1.75251,2.29594,0.70814,0.75,0.73016,0.35605,3.21767,2.23944,2.87536,0.0009506,0.0009506,0.0009506
